"filename", "language", "PHP", "Shell Script", "Markdown", "XML", "HTML", "JSON", "YAML", "Docker", "CSS", "JavaScript", "Log", "comment", "blank", "total"
"c:\xampp\htdocs\JobRadar\api\employeur\entreprise\delete_ent.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 56
"c:\xampp\htdocs\JobRadar\api\employeur\entreprise\edit_image_entreprise.php", "PHP", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 85
"c:\xampp\htdocs\JobRadar\api\employeur\entreprise\update_ent.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62
"c:\xampp\htdocs\JobRadar\api\employeur\errorMail.html", "HTML", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\xampp\htdocs\JobRadar\api\employeur\nbr.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5
"c:\xampp\htdocs\JobRadar\api\employeur\prophile\edit_photo_prophile.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 83
"c:\xampp\htdocs\JobRadar\api\employeur\saveEntreprise.php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 102
"c:\xampp\htdocs\JobRadar\api\employeur\update_exp.php", "PHP", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 13, 134
"c:\xampp\htdocs\JobRadar\api\employeur\validateCode.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\xampp\htdocs\JobRadar\api\error.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\xampp\htdocs\JobRadar\api\login.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 68
"c:\xampp\htdocs\JobRadar\api\saveUser.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 75
"c:\xampp\htdocs\JobRadar\api\sendEmail.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 41
"c:\xampp\htdocs\JobRadar\api\verification_code.php", "PHP", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 123
"c:\xampp\htdocs\JobRadar\api\verification_email.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 83
"c:\xampp\htdocs\JobRadar\composer.json", "JSON", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\JobRadar\composer.lock", "JSON", 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 101
"c:\xampp\htdocs\JobRadar\config.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\JobRadar\index.php", "PHP", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 104
"c:\xampp\htdocs\JobRadar\public\like.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\JobRadar\public\like_ok.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\xampp\htdocs\JobRadar\script\chomeur\ajout_entreprise.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\xampp\htdocs\JobRadar\script\chomeur\ajout_experiance.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 9, 87
"c:\xampp\htdocs\JobRadar\script\chomeur\header.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\JobRadar\script\chomeur\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 13, 12, 110
